Trial,Week,Day,Reef,Block,Treatment,Nest.count,TOL.num,notes,Linear models
4,1,5,1,front,low,1,1,,look at
4,1,5,2,front,high,2,"1,5",,average number of nests by treatment
4,1,5,3,front,med,1,1,,nests by treatment by week
4,1,5,4,front,high,1,1,,
4,1,5,5,front,med,0,0,,
4,1,5,6,front,low,1,4,,
4,1,5,7,front,med,0,0,,
4,1,5,8,front,high,2,"1,4",,
4,1,5,9,front,low,1,3,,
4,1,4,10,back,med,1,5,,
4,1,4,11,back,low,1,3,,
4,1,4,12,back,high,1,4,,
4,1,4,13,back,low,1,1,,
4,1,4,14,back,med,1,3,,
4,1,4,15,back,low,2,2,,
4,1,4,16,back,high,1,5,,
4,1,4,17,back,med,1,4,,
4,1,4,18,back,high,1,4,,
4,1,7,1,front,low,0,NA,,
4,1,7,2,front,high,0,NA,,
4,1,7,3,front,med,1,NA,"small nest, but definitely eggs in another TOL",
4,1,7,4,front,high,0,NA,,
4,1,7,5,front,med,0,NA,,
4,1,7,6,front,low,1,NA,new nest,
4,1,7,7,front,med,1,5,,
4,1,7,8,front,high,0,NA,,
4,1,7,9,front,low,1,NA,"definitely more eggs than the first week, but not that much more",
4,1,6,10,back,med,0,NA,,
4,1,6,11,back,low,1,NA,about twice as many new eggs laid in an existing nest,
4,1,6,12,back,high,0,NA,not bbg eggs,
4,1,6,13,back,low,1,NA,about twice as many new eggs laid in an existing nest,
4,1,6,14,back,med,1,NA,"definitely more eggs than the first week, but not that many more",
4,1,6,15,back,low,0,NA,,
4,1,6,16,back,high,1,NA,about twice as many new eggs laid,
4,1,6,17,back,med,1,4,more eggs laid,
4,1,6,18,back,high,1,NA,more eggs laid,
4,2,11,1,front,low,0,NA,,
4,2,11,2,front,high,0,NA,,
4,2,11,3,front,med,0,NA,1 nest not bbg eggs,
4,2,11,4,front,high,1,NA,,
4,2,11,5,front,med,0,NA,,
4,2,11,6,front,low,1,NA,new eggs laid,
4,2,11,7,front,med,1,3,new nest in TOL 3,
4,2,11,8,front,high,1,2,new nest in TOL 2,
4,2,11,9,front,low,0,NA,,
4,2,10,10,back,med,1,NA,new eggs laid,
4,2,10,11,back,low,1,NA,new eggs laid,
4,2,10,12,back,high,1,NA,,
4,2,10,13,back,low,1,4,new eggs in TOL 4,
4,2,10,14,back,med,1,5,new eggs in TOL 5,
4,2,10,15,back,low,1,1,new eggs in TOL 1,
4,2,10,16,back,high,0,NA,,
4,2,10,17,back,med,1,4,new eggs laid in TOL 4,
4,2,10,18,back,high,1,4,new eggs laid in TOL 4,
4,2,14,1,front,low,0,NA,,
4,2,14,2,front,high,0,NA,,
4,2,14,3,front,med,0,NA,,
4,2,14,4,front,high,1,3,more eggs laid,
4,2,14,5,front,med,0,NA,"didn't note this on the slate, but figured it out  afterwards",
4,2,14,6,front,low,0,NA,,
4,2,14,7,front,med,0,NA,,
4,2,14,8,front,high,0,NA,,
4,2,14,9,front,low,1,5,new eggs in TOL 5,
4,2,13,10,back,med,0,NA,,
4,2,13,11,back,low,0,NA,,
4,2,13,12,back,high,0,NA,,
4,2,13,13,back,low,1,4,new eggs in TOL 4,
4,2,13,14,back,med,0,NA,,
4,2,13,15,back,low,0,NA,,
4,2,13,16,back,high,0,NA,,
4,2,13,17,back,med,0,NA,,
4,2,13,18,back,high,0,NA,,
4,3,18,1,front,low,1,3,new eggs in TOL 3,
4,3,18,2,front,high,1,NA,,
4,3,18,3,front,med,0,NA,,
4,3,18,4,front,high,0,NA,"not all BBG eggs, but maybe a few",
4,3,18,5,front,med,0,NA,,
4,3,18,6,front,low,0,NA,,
4,3,18,7,front,med,0,NA,,
4,3,18,8,front,high,0,NA,,
4,3,18,9,front,low,0,NA,not bbg eggs,
4,3,17,10,back,med,1,NA,,
4,3,17,11,back,low,0,NA,,
4,3,17,12,back,high,1,1,new eggs TOL 1,
4,3,17,13,back,low,0,NA,1 nest not bbg eggs,
4,3,17,14,back,med,0,NA,,
4,3,17,15,back,low,1,2,a whole lot of new eggs in TOL 2,
4,3,17,16,back,high,1,3,new eggs in TOL 3,
4,3,17,17,back,med,1,2,"new eggs in TOL 2, not certain if they were there before and I forgot to phtoograph them on day 13",
4,3,17,18,back,high,1,2,"new eggs here, there were also eggs in TOL 5 on reef 18 this day, but they weren't BBG eggs",
4,4,26,1,front,low,0,NA,,
4,4,26,2,front,high,0,NA,,
4,4,26,3,front,med,0,NA,,
4,4,26,4,front,high,0,NA,,
4,4,26,5,front,med,0,NA,,
4,4,26,6,front,low,0,NA,might have some non-BBG eggs in here,
4,4,26,7,front,med,0,NA,,
4,4,26,8,front,high,1,NA,,
4,4,26,9,front,low,0,NA,,
4,4,25,10,back,med,0,NA,,
4,4,25,11,back,low,1,5,,
4,4,25,12,back,high,1,3,,
4,4,25,13,back,low,1,5,,
4,4,25,14,back,med,1,3,all new eggs,
4,4,25,15,back,low,1,1,,
4,4,25,16,back,high,1,3,all new eggs,
4,4,25,17,back,med,2,"2,4","new eggs, not all new though, don't count any eyed-up eggs in either of these nests",
4,4,25,18,back,high,1,1,,
5,1,4,1,front,high,2,"1,3",,
5,1,4,2,front,low,1,4,,
5,1,4,3,front,med,1,2,,
5,1,4,4,front,low,1,1,,
5,1,4,5,front,med,1,3,,
5,1,4,6,front,high,1,1,,
5,1,4,7,front,med,1,3,,
5,1,4,8,front,low,1,1,,
5,1,4,9,front,high,0,NA,,
5,1,4,10,back,med,2,"3,4",,
5,1,4,11,back,low,1,5,,
5,1,4,12,back,high,1,1,,
5,1,4,13,back,low,1,2,,
5,1,4,14,back,med,0,NA,,
5,1,4,15,back,high,1,3,,
5,1,4,16,back,med,0,NA,,
5,1,4,17,back,low,0,NA,,
5,1,4,18,back,high,1,3,,
5,1,7,1,front,high,0,NA,"with these, if there are any new eggs, even if a small number, I'm counting it as a new nest. That's what I did before too for trial 4",
5,1,7,2,front,low,0,NA,,
5,1,7,3,front,med,1,2,,
5,1,7,4,front,low,1,1,,
5,1,7,5,front,med,1,3,,
5,1,7,6,front,high,1,1,,
5,1,7,7,front,med,1,3,"some new, dark eggs",
5,1,7,8,front,low,1,1,lots of new eggs,
5,1,7,9,front,high,1,5,,
5,1,7,10,back,med,1,3,,
5,1,7,11,back,low,0,NA,"there's a few new eggs, but it's almost negligible ",
5,1,7,12,back,high,1,1,lots of new eggs,
5,1,7,13,back,low,1,3,,
5,1,7,14,back,med,0,NA,,
5,1,7,15,back,high,1,3,,
5,1,7,16,back,med,1,5,,
5,1,7,17,back,low,1,4,,
5,1,7,18,back,high,0,NA,,
5,2,11,1,front,high,1,1,no acetate sheet #3,
5,2,11,2,front,low,1,4,some new eggs,
5,2,11,3,front,med,1,2,few new eggs,
5,2,11,4,front,low,1,1,few new eggs,
5,2,11,5,front,med,1,3,few new eggs,
5,2,11,6,front,high,1,1,few new eggs,
5,2,11,7,front,med,1,3,few new eggs,
5,2,11,8,front,low,1,1,few new eggs,
5,2,11,9,front,high,0,NA,,
5,2,11,10,back,med,0,NA,,
5,2,11,11,back,low,1,5,mostly new,
5,2,11,12,back,high,0,NA,,
5,2,11,13,back,low,1,3,few new eggs,
5,2,11,14,back,med,2,"2,4",,
5,2,11,15,back,high,1,3,few new eggs,
5,2,11,16,back,med,1,5,few new eggs,
5,2,11,17,back,low,1,4,few new eggs,
5,2,11,18,back,high,1,2,no acetate sheet #3,
5,2,14,1,front,high,0,1,no new eggs,
5,2,14,2,front,low,1,4,most new,
5,2,14,3,front,med,1,2,most new,
5,2,14,4,front,low,1,1,most new,
5,2,14,5,front,med,1,3,few new eggs,
5,2,14,6,front,high,2,"1,5",tol 1 might not have been bbg eggs,
5,2,14,7,front,med,1,3,most new,
5,2,14,8,front,low,1,2,all new eggs,
5,2,14,9,front,high,1,5,most/all new,
5,2,14,10,back,med,1,1,all new eggs,
5,2,14,11,back,low,1,5,half nest new eggs,
5,2,14,12,back,high,1,1,all new eggs,
5,2,14,13,back,low,0,NA,,
5,2,14,14,back,med,1,4,half nest new eggs,
5,2,14,15,back,high,1,3,most new,
5,2,14,16,back,med,1,5,few new eggs,
5,2,14,17,back,low,1,4,half nest new eggs,
5,2,14,18,back,high,1,2,few new eggs,
5,3,19,1,front,high,1,1,half nest new eggs,
5,3,19,2,front,low,1,4,few new,
5,3,19,3,front,med,2,"2,5","2: half new, 5: all new eggs",
5,3,19,4,front,low,1,1,half nest new eggs,
5,3,19,5,front,med,1,3,half nest new eggs,
5,3,19,6,front,high,1,5,"few new, if any. Need to look at photos to compare",
5,3,19,7,front,med,1,3,half nest new eggs,
5,3,19,8,front,low,0,NA,no new eggs,
5,3,19,9,front,high,1,5,half nest new eggs,
5,3,19,10,back,med,1,3,all new eggs,
5,3,19,11,back,low,1,5,"few new, if any. Need to look at photos to compare",
5,3,19,12,back,high,0,NA,,
5,3,19,13,back,low,1,5,all new eggs,
5,3,19,14,back,med,1,2,all new eggs,
5,3,19,15,back,high,1,1,all new eggs,
5,3,19,16,back,med,1,5,half nest new eggs,
5,3,19,17,back,low,1,4,most new,
5,3,19,18,back,high,1,5,all new eggs,
