"Trial","Reef","Treatment","T6.comparison","Year","Year.fact","avg.inhab","Predator.class","Score"
2,3,"High","High",2017,"2017",11,"Present",0.9
1,4,"High","High",2017,"2017",14,"Present",0.4
2,5,"High","High",2017,"2017",13,"Present",0.9
1,6,"High","High",2017,"2017",13,"Present",0.2
1,9,"High","High",2017,"2017",12,"Present",0.5
2,9,"High","High",2017,"2017",13,"Present",0
3,10,"High","High",2017,"2017",13,"Present",0.9
2,11,"High","High",2017,"2017",13,"Present",0.6
1,12,"High","High",2017,"2017",12,"Present",0.8
3,14,"High","High",2017,"2017",13,"Present",0.7
1,15,"High","High",2017,"2017",11,"Present",0.5
2,15,"High","High",2017,"2017",12,"Present",0.1
2,17,"High","High",2017,"2017",13,"Present",0.3
3,17,"High","High",2017,"2017",13,"Present",0.636363636363636
1,18,"High","High",2017,"2017",12,"Present",0.5
1,1,"Low","Low",2017,"2017",12,"Present",0.2
2,2,"Low","Low",2017,"2017",11,"Present",0.7
1,3,"Low","Low",2017,"2017",14,"Present",0.1
2,6,"Low","Low",2017,"2017",11,"Present",0.7
1,8,"Low","Low",2017,"2017",13,"Present",0.4
2,8,"Low","Low",2017,"2017",14,"Present",0.2
1,10,"Low","Low",2017,"2017",11,"Present",0.4
2,10,"Low","Low",2017,"2017",13,"Present",0.5
3,11,"Low","Low",2017,"2017",13,"Present",0.4
1,13,"Low","Low",2017,"2017",12,"Present",1
2,13,"Low","Low",2017,"2017",11,"Present",0.3
3,13,"Low","Low",2017,"2017",12,"Present",0.4
3,15,"Low","Low",2017,"2017",13,"Present",0.6
1,16,"Low","Low",2017,"2017",12,"Present",0.6
2,16,"Low","Low",2017,"2017",11,"Present",0
2,1,"Medium","Medium",2017,"2017",11,"Present",0.7
1,2,"Medium","Medium",2017,"2017",12,"Present",0.3
2,4,"Medium","Medium",2017,"2017",12,"Present",0.7
1,5,"Medium","Medium",2017,"2017",14,"Present",1
1,7,"Medium","Medium",2017,"2017",14,"Present",0.4
2,7,"Medium","Medium",2017,"2017",11,"Present",0.9
1,11,"Medium","Medium",2017,"2017",10,"Present",0.8
2,12,"Medium","Medium",2017,"2017",14,"Present",0.8
3,12,"Medium","Medium",2017,"2017",12,"Present",0.6
1,14,"Medium","Medium",2017,"2017",12,"Present",0.5
2,14,"Medium","Medium",2017,"2017",10,"Present",0.3
3,16,"Medium","Medium",2017,"2017",14,"Present",0.363636363636364
1,17,"Medium","Medium",2017,"2017",12,"Present",0.3
2,18,"Medium","Medium",2017,"2017",11,"Present",0.7
3,18,"Medium","Medium",2017,"2017",13,"Present",0.363636363636364
5,6,"High","High",2018,"2018",12,"Present",1
6,7,"High","High",2018,"2018",13,"Present",0.733333333333333
5,9,"High","High",2018,"2018",12,"Present",0.35
6,10,"High","High",2018,"2018",12,"Present",0.5
5,12,"High","High",2018,"2018",10,"Present",0.6
5,15,"High","High",2018,"2018",15,"Present",0.5
6,17,"High","High",2018,"2018",11,"Present",0.1
4,18,"High","High",2018,"2018",13,"Present",0.705882352941177
5,18,"High","High",2018,"2018",14,"Present",0.1
6,20,"High","High",2018,"2018",12,"Present",0.4
5,4,"Low","Low",2018,"2018",13,"Present",0.4
5,8,"Low","Low",2018,"2018",14,"Present",0.157894736842105
5,11,"Low","Low",2018,"2018",13,"Present",0.555555555555556
5,13,"Low","Low",2018,"2018",10,"Present",0.3125
4,15,"Low","Low",2018,"2018",15,"Present",0.5
5,17,"Low","Low",2018,"2018",13,"Present",0
5,5,"Medium","Medium",2018,"2018",14,"Present",0.684210526315789
5,7,"Medium","Medium",2018,"2018",15,"Present",0.555555555555556
5,10,"Medium","Medium",2018,"2018",13,"Present",0.538461538461538
5,16,"Medium","Medium",2018,"2018",13,"Present",0.0526315789473684
4,17,"Medium","Medium",2018,"2018",19,"Present",0.2
6,2,"High","Uncaged",2018,"2018",11,"Present",0.8
6,8,"High","Uncaged",2018,"2018",13,"Present",0.6
6,12,"High","Uncaged",2018,"2018",11,"Present",0.583333333333333
6,19,"High","Uncaged",2018,"2018",12,"Present",0.75
2,3,"High","High",2017,"2017",11,"Sublethal.Threat",0.2
1,4,"High","High",2017,"2017",14,"Sublethal.Threat",0.2
2,5,"High","High",2017,"2017",13,"Sublethal.Threat",0.3
1,6,"High","High",2017,"2017",13,"Sublethal.Threat",0
1,9,"High","High",2017,"2017",12,"Sublethal.Threat",0.2
2,9,"High","High",2017,"2017",13,"Sublethal.Threat",0
3,10,"High","High",2017,"2017",13,"Sublethal.Threat",0
2,11,"High","High",2017,"2017",13,"Sublethal.Threat",0.1
1,12,"High","High",2017,"2017",12,"Sublethal.Threat",0.4
3,14,"High","High",2017,"2017",13,"Sublethal.Threat",0.2
1,15,"High","High",2017,"2017",11,"Sublethal.Threat",0.1
2,15,"High","High",2017,"2017",12,"Sublethal.Threat",0
2,17,"High","High",2017,"2017",13,"Sublethal.Threat",0.1
3,17,"High","High",2017,"2017",13,"Sublethal.Threat",0.181818181818182
1,18,"High","High",2017,"2017",12,"Sublethal.Threat",0.1
1,1,"Low","Low",2017,"2017",12,"Sublethal.Threat",0
2,2,"Low","Low",2017,"2017",11,"Sublethal.Threat",0
1,3,"Low","Low",2017,"2017",14,"Sublethal.Threat",0
2,6,"Low","Low",2017,"2017",11,"Sublethal.Threat",0
1,8,"Low","Low",2017,"2017",13,"Sublethal.Threat",0
2,8,"Low","Low",2017,"2017",14,"Sublethal.Threat",0
1,10,"Low","Low",2017,"2017",11,"Sublethal.Threat",0
2,10,"Low","Low",2017,"2017",13,"Sublethal.Threat",0
3,11,"Low","Low",2017,"2017",13,"Sublethal.Threat",0.1
1,13,"Low","Low",2017,"2017",12,"Sublethal.Threat",0
2,13,"Low","Low",2017,"2017",11,"Sublethal.Threat",0
3,13,"Low","Low",2017,"2017",12,"Sublethal.Threat",0
3,15,"Low","Low",2017,"2017",13,"Sublethal.Threat",0
1,16,"Low","Low",2017,"2017",12,"Sublethal.Threat",0
2,16,"Low","Low",2017,"2017",11,"Sublethal.Threat",0
2,1,"Medium","Medium",2017,"2017",11,"Sublethal.Threat",0.2
1,2,"Medium","Medium",2017,"2017",12,"Sublethal.Threat",0
2,4,"Medium","Medium",2017,"2017",12,"Sublethal.Threat",0
1,5,"Medium","Medium",2017,"2017",14,"Sublethal.Threat",0.3
1,7,"Medium","Medium",2017,"2017",14,"Sublethal.Threat",0.1
2,7,"Medium","Medium",2017,"2017",11,"Sublethal.Threat",0
1,11,"Medium","Medium",2017,"2017",10,"Sublethal.Threat",0.3
2,12,"Medium","Medium",2017,"2017",14,"Sublethal.Threat",0.1
3,12,"Medium","Medium",2017,"2017",12,"Sublethal.Threat",0.3
1,14,"Medium","Medium",2017,"2017",12,"Sublethal.Threat",0.1
2,14,"Medium","Medium",2017,"2017",10,"Sublethal.Threat",0.1
3,16,"Medium","Medium",2017,"2017",14,"Sublethal.Threat",0.0909090909090909
1,17,"Medium","Medium",2017,"2017",12,"Sublethal.Threat",0.1
2,18,"Medium","Medium",2017,"2017",11,"Sublethal.Threat",0.4
3,18,"Medium","Medium",2017,"2017",13,"Sublethal.Threat",0.0909090909090909
5,6,"High","High",2018,"2018",12,"Sublethal.Threat",0.2
6,7,"High","High",2018,"2018",13,"Sublethal.Threat",0
5,9,"High","High",2018,"2018",12,"Sublethal.Threat",0.15
6,10,"High","High",2018,"2018",12,"Sublethal.Threat",0.0714285714285714
5,12,"High","High",2018,"2018",10,"Sublethal.Threat",0.1
5,15,"High","High",2018,"2018",15,"Sublethal.Threat",0.1
6,17,"High","High",2018,"2018",11,"Sublethal.Threat",0
4,18,"High","High",2018,"2018",13,"Sublethal.Threat",0.235294117647059
5,18,"High","High",2018,"2018",14,"Sublethal.Threat",0
6,20,"High","High",2018,"2018",12,"Sublethal.Threat",0.1
5,4,"Low","Low",2018,"2018",13,"Sublethal.Threat",0
5,8,"Low","Low",2018,"2018",14,"Sublethal.Threat",0
5,11,"Low","Low",2018,"2018",13,"Sublethal.Threat",0
5,13,"Low","Low",2018,"2018",10,"Sublethal.Threat",0
4,15,"Low","Low",2018,"2018",15,"Sublethal.Threat",0
5,17,"Low","Low",2018,"2018",13,"Sublethal.Threat",0
5,5,"Medium","Medium",2018,"2018",14,"Sublethal.Threat",0.263157894736842
5,7,"Medium","Medium",2018,"2018",15,"Sublethal.Threat",0.0555555555555556
5,10,"Medium","Medium",2018,"2018",13,"Sublethal.Threat",0.153846153846154
5,16,"Medium","Medium",2018,"2018",13,"Sublethal.Threat",0
4,17,"Medium","Medium",2018,"2018",19,"Sublethal.Threat",0
6,2,"High","Uncaged",2018,"2018",11,"Sublethal.Threat",0.0666666666666667
6,8,"High","Uncaged",2018,"2018",13,"Sublethal.Threat",0.133333333333333
6,12,"High","Uncaged",2018,"2018",11,"Sublethal.Threat",0
6,19,"High","Uncaged",2018,"2018",12,"Sublethal.Threat",0.25
2,3,"High","High",2017,"2017",11,"Lethal.Threat",0.2
1,4,"High","High",2017,"2017",14,"Lethal.Threat",0
2,5,"High","High",2017,"2017",13,"Lethal.Threat",0.3
1,6,"High","High",2017,"2017",13,"Lethal.Threat",0
1,9,"High","High",2017,"2017",12,"Lethal.Threat",0.3
2,9,"High","High",2017,"2017",13,"Lethal.Threat",0
3,10,"High","High",2017,"2017",13,"Lethal.Threat",0.3
2,11,"High","High",2017,"2017",13,"Lethal.Threat",0
1,12,"High","High",2017,"2017",12,"Lethal.Threat",0.4
3,14,"High","High",2017,"2017",13,"Lethal.Threat",0.2
1,15,"High","High",2017,"2017",11,"Lethal.Threat",0.1
2,15,"High","High",2017,"2017",12,"Lethal.Threat",0
2,17,"High","High",2017,"2017",13,"Lethal.Threat",0.1
3,17,"High","High",2017,"2017",13,"Lethal.Threat",0.272727272727273
1,18,"High","High",2017,"2017",12,"Lethal.Threat",0.3
1,1,"Low","Low",2017,"2017",12,"Lethal.Threat",0
2,2,"Low","Low",2017,"2017",11,"Lethal.Threat",0
1,3,"Low","Low",2017,"2017",14,"Lethal.Threat",0
2,6,"Low","Low",2017,"2017",11,"Lethal.Threat",0
1,8,"Low","Low",2017,"2017",13,"Lethal.Threat",0
2,8,"Low","Low",2017,"2017",14,"Lethal.Threat",0
1,10,"Low","Low",2017,"2017",11,"Lethal.Threat",0
2,10,"Low","Low",2017,"2017",13,"Lethal.Threat",0
3,11,"Low","Low",2017,"2017",13,"Lethal.Threat",0
1,13,"Low","Low",2017,"2017",12,"Lethal.Threat",0
2,13,"Low","Low",2017,"2017",11,"Lethal.Threat",0
3,13,"Low","Low",2017,"2017",12,"Lethal.Threat",0
3,15,"Low","Low",2017,"2017",13,"Lethal.Threat",0
1,16,"Low","Low",2017,"2017",12,"Lethal.Threat",0
2,16,"Low","Low",2017,"2017",11,"Lethal.Threat",0
2,1,"Medium","Medium",2017,"2017",11,"Lethal.Threat",0
1,2,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
2,4,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
1,5,"Medium","Medium",2017,"2017",14,"Lethal.Threat",0
1,7,"Medium","Medium",2017,"2017",14,"Lethal.Threat",0
2,7,"Medium","Medium",2017,"2017",11,"Lethal.Threat",0
1,11,"Medium","Medium",2017,"2017",10,"Lethal.Threat",0
2,12,"Medium","Medium",2017,"2017",14,"Lethal.Threat",0
3,12,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
1,14,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
2,14,"Medium","Medium",2017,"2017",10,"Lethal.Threat",0
3,16,"Medium","Medium",2017,"2017",14,"Lethal.Threat",0
1,17,"Medium","Medium",2017,"2017",12,"Lethal.Threat",0
2,18,"Medium","Medium",2017,"2017",11,"Lethal.Threat",0
3,18,"Medium","Medium",2017,"2017",13,"Lethal.Threat",0
5,6,"High","High",2018,"2018",12,"Lethal.Threat",0.1
6,7,"High","High",2018,"2018",13,"Lethal.Threat",0.0666666666666667
5,9,"High","High",2018,"2018",12,"Lethal.Threat",0.1
6,10,"High","High",2018,"2018",12,"Lethal.Threat",0
5,12,"High","High",2018,"2018",10,"Lethal.Threat",0
5,15,"High","High",2018,"2018",15,"Lethal.Threat",0
6,17,"High","High",2018,"2018",11,"Lethal.Threat",0.1
4,18,"High","High",2018,"2018",13,"Lethal.Threat",0.0588235294117647
5,18,"High","High",2018,"2018",14,"Lethal.Threat",0
6,20,"High","High",2018,"2018",12,"Lethal.Threat",0.2
5,4,"Low","Low",2018,"2018",13,"Lethal.Threat",0
5,8,"Low","Low",2018,"2018",14,"Lethal.Threat",0
5,11,"Low","Low",2018,"2018",13,"Lethal.Threat",0
5,13,"Low","Low",2018,"2018",10,"Lethal.Threat",0
4,15,"Low","Low",2018,"2018",15,"Lethal.Threat",0
5,17,"Low","Low",2018,"2018",13,"Lethal.Threat",0
5,5,"Medium","Medium",2018,"2018",14,"Lethal.Threat",0
5,7,"Medium","Medium",2018,"2018",15,"Lethal.Threat",0
5,10,"Medium","Medium",2018,"2018",13,"Lethal.Threat",0
5,16,"Medium","Medium",2018,"2018",13,"Lethal.Threat",0
4,17,"Medium","Medium",2018,"2018",19,"Lethal.Threat",0
6,2,"High","Uncaged",2018,"2018",11,"Lethal.Threat",0
6,8,"High","Uncaged",2018,"2018",13,"Lethal.Threat",0.2
6,12,"High","Uncaged",2018,"2018",11,"Lethal.Threat",0.0833333333333333
6,19,"High","Uncaged",2018,"2018",12,"Lethal.Threat",0.0833333333333333
