Reader,Trial,Reef,Treatment,Read.number.every.5.min,frame.number,IMG.num,Species,count.prop,prop.sublethal,prop.lethal
GJ,6,2,Control,1,60,29029,FHASE,0,0,0
GJ,6,2,Control,1,60,29029,FSEPU,0,0,0
GJ,6,2,Control,1,60,29029,MHASE,0,0,0
GJ,6,2,Control,1,60,29029,PACL,0,0,0
GJ,6,2,Control,2,120,29089,MHASE,1,0,0
GJ,6,2,Control,2,120,29089,FHASE,0,0,0
GJ,6,2,Control,2,120,29089,FSEPU,0,0,0
GJ,6,2,Control,2,120,29089,PACL,0,0,0
GJ,6,2,Control,3,180,29149,PACL,1,0,0
GJ,6,2,Control,3,180,29149,FHASE,0,0,0
GJ,6,2,Control,3,180,29149,FSEPU,0,0,0
GJ,6,2,Control,3,180,29149,MHASE,0,0,0
GJ,6,2,Control,4,240,29209,PACL,1,1,0
GJ,6,2,Control,4,240,29209,FHASE,0,0,0
GJ,6,2,Control,4,240,29209,FSEPU,0,0,0
GJ,6,2,Control,4,240,29209,MHASE,0,0,0
GJ,6,2,Control,5,300,29269,FHASE,0,0,0
GJ,6,2,Control,5,300,29269,FSEPU,0,0,0
GJ,6,2,Control,5,300,29269,MHASE,0,0,0
GJ,6,2,Control,5,300,29269,PACL,0,0,0
GJ,6,2,Control,6,360,29329,PACL,1,0,0
GJ,6,2,Control,6,360,29329,FHASE,0,0,0
GJ,6,2,Control,6,360,29329,FSEPU,0,0,0
GJ,6,2,Control,6,360,29329,MHASE,0,0,0
GJ,6,2,Control,7,420,29389,PACL,1,0,0
GJ,6,2,Control,7,420,29389,MHASE,1,0,0
GJ,6,2,Control,7,420,29389,FHASE,0,0,0
GJ,6,2,Control,7,420,29389,FSEPU,0,0,0
GJ,6,2,Control,8,480,29449,PACL,1,0,0
GJ,6,2,Control,8,480,29449,FHASE,0,0,0
GJ,6,2,Control,8,480,29449,FSEPU,0,0,0
GJ,6,2,Control,8,480,29449,MHASE,0,0,0
GJ,6,2,Control,9,540,29509,FHASE,1,0,0
GJ,6,2,Control,9,540,29509,FSEPU,0,0,0
GJ,6,2,Control,9,540,29509,MHASE,0,0,0
GJ,6,2,Control,9,540,29509,PACL,0,0,0
GJ,6,2,Control,10,600,29569,FHASE,1,0,0
GJ,6,2,Control,10,600,29569,FSEPU,0,0,0
GJ,6,2,Control,10,600,29569,MHASE,0,0,0
GJ,6,2,Control,10,600,29569,PACL,0,0,0
GJ,6,2,Control,11,660,29629,FHASE,1,0,0
GJ,6,2,Control,11,660,29629,PACL,1,0,0
GJ,6,2,Control,11,660,29629,FSEPU,0,0,0
GJ,6,2,Control,11,660,29629,MHASE,0,0,0
GJ,6,2,Control,12,720,29689,MHASE,1,0,0
GJ,6,2,Control,12,720,29689,FHASE,0,0,0
GJ,6,2,Control,12,720,29689,FSEPU,0,0,0
GJ,6,2,Control,12,720,29689,PACL,0,0,0
GJ,6,2,Control,13,780,29749,FHASE,1,0,0
GJ,6,2,Control,13,780,29749,FSEPU,0,0,0
GJ,6,2,Control,13,780,29749,MHASE,0,0,0
GJ,6,2,Control,13,780,29749,PACL,0,0,0
GJ,6,2,Control,14,840,29809,FHASE,0,0,0
GJ,6,2,Control,14,840,29809,FSEPU,0,0,0
GJ,6,2,Control,14,840,29809,MHASE,0,0,0
GJ,6,2,Control,14,840,29809,PACL,0,0,0
GJ,6,2,Control,15,900,29869,FHASE,1,0,0
GJ,6,2,Control,15,900,29869,MHASE,1,0,0
GJ,6,2,Control,15,900,29869,FSEPU,0,0,0
GJ,6,2,Control,15,900,29869,PACL,0,0,0
GJ,6,12,Control,1,60,36329,FHASE,1,0,0
GJ,6,12,Control,1,60,36329,FSEPU,0,0,0
GJ,6,12,Control,1,60,36329,MHASE,0,0,0
GJ,6,12,Control,1,60,36329,PACL,0,0,0
GJ,6,12,Control,2,120,36389,FHASE,0,0,0
GJ,6,12,Control,2,120,36389,FSEPU,0,0,0
GJ,6,12,Control,2,120,36389,MHASE,0,0,0
GJ,6,12,Control,2,120,36389,PACL,0,0,0
GJ,6,12,Control,3,180,36449,FHASE,0,0,0
GJ,6,12,Control,3,180,36449,FSEPU,0,0,0
GJ,6,12,Control,3,180,36449,MHASE,0,0,0
GJ,6,12,Control,3,180,36449,PACL,0,0,0
GJ,6,12,Control,4,240,36509,FSEPU,1,0,0
GJ,6,12,Control,4,240,36509,FHASE,0,0,0
GJ,6,12,Control,4,240,36509,MHASE,0,0,0
GJ,6,12,Control,4,240,36509,PACL,0,0,0
GJ,6,12,Control,5,300,36569,FHASE,0,0,0
GJ,6,12,Control,5,300,36569,FSEPU,0,0,0
GJ,6,12,Control,5,300,36569,MHASE,0,0,0
GJ,6,12,Control,5,300,36569,PACL,0,0,0
GJ,6,12,Control,6,360,36629,FHASE,1,0,0
GJ,6,12,Control,6,360,36629,FSEPU,0,0,0
GJ,6,12,Control,6,360,36629,MHASE,0,0,0
GJ,6,12,Control,6,360,36629,PACL,0,0,0
GJ,6,12,Control,7,420,36689,FHASE,0,0,0
GJ,6,12,Control,7,420,36689,FSEPU,0,0,0
GJ,6,12,Control,7,420,36689,MHASE,0,0,0
GJ,6,12,Control,7,420,36689,PACL,0,0,0
GJ,6,12,Control,8,480,36749,MHASE,1,0,0
GJ,6,12,Control,8,480,36749,FHASE,0,0,0
GJ,6,12,Control,8,480,36749,FSEPU,0,0,0
GJ,6,12,Control,8,480,36749,PACL,0,0,0
GJ,6,12,Control,9,540,36809,FHASE,0,0,0
GJ,6,12,Control,9,540,36809,FSEPU,0,0,0
GJ,6,12,Control,9,540,36809,MHASE,0,0,0
GJ,6,12,Control,9,540,36809,PACL,0,0,0
GJ,6,12,Control,10,600,36869,PACL,1,0,0
GJ,6,12,Control,10,600,36869,FHASE,0,0,0
GJ,6,12,Control,10,600,36869,FSEPU,0,0,0
GJ,6,12,Control,10,600,36869,MHASE,0,0,0
GJ,6,12,Control,11,660,36929,MHASE,1,0,0
GJ,6,12,Control,11,660,36929,FHASE,0,0,0
GJ,6,12,Control,11,660,36929,FSEPU,0,0,0
GJ,6,12,Control,11,660,36929,PACL,0,0,0
GJ,6,12,Control,12,720,36989,FSEPU,1,0,1
GJ,6,12,Control,12,720,36989,FHASE,1,0,0
GJ,6,12,Control,12,720,36989,MHASE,0,0,0
GJ,6,12,Control,12,720,36989,PACL,0,0,0
GJ,6,19,Control,1,60,40865,FHASE,0,0,0
GJ,6,19,Control,1,60,40865,FSEPU,0,0,0
GJ,6,19,Control,1,60,40865,MHASE,0,0,0
GJ,6,19,Control,1,60,40865,PACL,0,0,0
GJ,6,19,Control,2,120,40925,FHASE,1,1,0
GJ,6,19,Control,2,120,40925,FSEPU,0,0,0
GJ,6,19,Control,2,120,40925,MHASE,0,0,0
GJ,6,19,Control,2,120,40925,PACL,0,0,0
GJ,6,19,Control,3,180,40985,FHASE,0,0,0
GJ,6,19,Control,3,180,40985,FSEPU,0,0,0
GJ,6,19,Control,3,180,40985,MHASE,0,0,0
GJ,6,19,Control,3,180,40985,PACL,0,0,0
GJ,6,19,Control,4,240,41045,FHASE,1,0,0
GJ,6,19,Control,4,240,41045,PACL,1,0,0
GJ,6,19,Control,4,240,41045,FSEPU,0,0,0
GJ,6,19,Control,4,240,41045,MHASE,0,0,0
GJ,6,19,Control,5,300,41105,FHASE,1,1,0
GJ,6,19,Control,5,300,41105,FSEPU,0,0,0
GJ,6,19,Control,5,300,41105,MHASE,0,0,0
GJ,6,19,Control,5,300,41105,PACL,0,0,0
GJ,6,19,Control,6,360,41165,PACL,1,0,1
GJ,6,19,Control,6,360,41165,FHASE,0,0,0
GJ,6,19,Control,6,360,41165,FSEPU,0,0,0
GJ,6,19,Control,6,360,41165,MHASE,0,0,0
GJ,6,19,Control,7,420,41225,FHASE,1,1,0
GJ,6,19,Control,7,420,41225,PACL,1,0,0
GJ,6,19,Control,7,420,41225,FSEPU,0,0,0
GJ,6,19,Control,7,420,41225,MHASE,0,0,0
GJ,6,19,Control,8,480,41285,FHASE,1,0,0
GJ,6,19,Control,8,480,41285,FSEPU,0,0,0
GJ,6,19,Control,8,480,41285,MHASE,0,0,0
GJ,6,19,Control,8,480,41285,PACL,0,0,0
GJ,6,19,Control,9,540,41345,FHASE,1,0,0
GJ,6,19,Control,9,540,41345,FSEPU,0,0,0
GJ,6,19,Control,9,540,41345,MHASE,0,0,0
GJ,6,19,Control,9,540,41345,PACL,0,0,0
GJ,6,19,Control,10,600,41405,PACL,1,0,0
GJ,6,19,Control,10,600,41405,FHASE,0,0,0
GJ,6,19,Control,10,600,41405,FSEPU,0,0,0
GJ,6,19,Control,10,600,41405,MHASE,0,0,0
GJ,6,19,Control,11,660,41465,FHASE,1,0,0
GJ,6,19,Control,11,660,41465,FSEPU,0,0,0
GJ,6,19,Control,11,660,41465,MHASE,0,0,0
GJ,6,19,Control,11,660,41465,PACL,0,0,0
GJ,6,19,Control,12,720,41525,FHASE,0,0,0
GJ,6,19,Control,12,720,41525,FSEPU,0,0,0
GJ,6,19,Control,12,720,41525,MHASE,0,0,0
GJ,6,19,Control,12,720,41525,PACL,0,0,0
TG,6,8,Control,1,60,15342,FHASE,0,0,0
TG,6,8,Control,1,60,15342,FSEPU,0,0,0
TG,6,8,Control,1,60,15342,MHASE,0,0,0
TG,6,8,Control,1,60,15342,PACL,0,0,0
TG,6,8,Control,2,120,15402,FHASE,0,0,0
TG,6,8,Control,2,120,15402,FSEPU,0,0,0
TG,6,8,Control,2,120,15402,MHASE,0,0,0
TG,6,8,Control,2,120,15402,PACL,0,0,0
TG,6,8,Control,3,180,15462,FHASE,0,0,0
TG,6,8,Control,3,180,15462,FSEPU,0,0,0
TG,6,8,Control,3,180,15462,MHASE,0,0,0
TG,6,8,Control,3,180,15462,PACL,0,0,0
TG,6,8,Control,4,240,25462,FHASE,1,0,0
TG,6,8,Control,4,240,25462,FSEPU,0,0,0
TG,6,8,Control,4,240,25462,MHASE,0,0,0
TG,6,8,Control,4,240,25462,PACL,0,0,0
TG,6,8,Control,5,300,25522,FHASE,1,0,0
TG,6,8,Control,5,300,25522,FSEPU,0,0,0
TG,6,8,Control,5,300,25522,MHASE,1,0,0
TG,6,8,Control,5,300,25522,PACL,0,0,0
TG,6,8,Control,6,360,25582,FHASE,1,0,0
TG,6,8,Control,6,360,25582,FSEPU,0,0,0
TG,6,8,Control,6,360,25582,MHASE,0,0,0
TG,6,8,Control,6,360,25582,PACL,1,0,0
TG,6,8,Control,7,420,25642,FHASE,1,1,0
TG,6,8,Control,7,420,25642,FSEPU,0,0,0
TG,6,8,Control,7,420,25642,MHASE,0,0,0
TG,6,8,Control,7,420,25642,PACL,0,0,0
TG,6,8,Control,8,480,25702,FHASE,0,0,0
TG,6,8,Control,8,480,25702,FSEPU,1,0,0
TG,6,8,Control,8,480,25702,MHASE,0,0,0
TG,6,8,Control,8,480,25702,PACL,0,0,0
TG,6,8,Control,9,540,25762,FHASE,0,0,0
TG,6,8,Control,9,540,25762,FSEPU,0,0,0
TG,6,8,Control,9,540,25762,MHASE,0,0,0
TG,6,8,Control,9,540,25762,PACL,0,0,0
TG,6,8,Control,10,600,25822,FHASE,1,0,1
TG,6,8,Control,10,600,25822,FSEPU,1,1,0
TG,6,8,Control,10,600,25822,MHASE,1,0,0
TG,6,8,Control,10,600,25822,PACL,0,0,0
TG,6,8,Control,11,660,25882,FHASE,0,0,0
TG,6,8,Control,11,660,25882,FSEPU,0,0,0
TG,6,8,Control,11,660,25882,MHASE,1,0,0
TG,6,8,Control,11,660,25882,PACL,0,0,0
TG,6,8,Control,12,720,25942,FHASE,0,0,0
TG,6,8,Control,12,720,25942,FSEPU,0,0,0
TG,6,8,Control,12,720,25942,MHASE,0,0,0
TG,6,8,Control,12,720,25942,PACL,0,0,0
TG,6,8,Control,13,780,26002,FHASE,0,0,0
TG,6,8,Control,13,780,26002,FSEPU,0,0,0
TG,6,8,Control,13,780,26002,MHASE,0,0,0
TG,6,8,Control,13,780,26002,PACL,1,0,1
TG,6,8,Control,14,840,26062,FHASE,0,0,0
TG,6,8,Control,14,840,26062,FSEPU,0,0,0
TG,6,8,Control,14,840,26062,MHASE,0,0,0
TG,6,8,Control,14,840,26062,PACL,0,0,0
TG,6,8,Control,15,900,26122,FHASE,1,0,0
TG,6,8,Control,15,900,26122,FSEPU,1,0,0
TG,6,8,Control,15,900,26122,MHASE,1,0,1
TG,6,8,Control,15,900,26122,PACL,0,0,0
GJ,5,9,High,2,60,10763,FHASE,0,0,0
GJ,5,9,High,2,60,10763,FSEPU,0,0,0
GJ,5,9,High,2,60,10763,MHASE,0,0,0
GJ,5,9,High,2,60,10763,PACL,0,0,0
GJ,5,9,High,4,120,10823,FSEPU,1,0,0
GJ,5,9,High,4,120,10823,FHASE,0,0,0
GJ,5,9,High,4,120,10823,MHASE,0,0,0
GJ,5,9,High,4,120,10823,PACL,0,0,0
GJ,5,9,High,6,180,10883,FHASE,0,0,0
GJ,5,9,High,6,180,10883,FSEPU,0,0,0
GJ,5,9,High,6,180,10883,MHASE,0,0,0
GJ,5,9,High,6,180,10883,PACL,0,0,0
GJ,5,9,High,8,240,10943,FHASE,0,0,0
GJ,5,9,High,8,240,10943,FSEPU,0,0,0
GJ,5,9,High,8,240,10943,MHASE,0,0,0
GJ,5,9,High,8,240,10943,PACL,0,0,0
GJ,5,9,High,10,300,11003,FHASE,0,0,0
GJ,5,9,High,10,300,11003,FSEPU,0,0,0
GJ,5,9,High,10,300,11003,MHASE,0,0,0
GJ,5,9,High,10,300,11003,PACL,0,0,0
GJ,5,9,High,12,360,11063,FHASE,0,0,0
GJ,5,9,High,12,360,11063,FSEPU,0,0,0
GJ,5,9,High,12,360,11063,MHASE,0,0,0
GJ,5,9,High,12,360,11063,PACL,0,0,0
GJ,5,9,High,14,420,11123,FHASE,1,0,0
GJ,5,9,High,14,420,11123,FSEPU,1,0,0
GJ,5,9,High,14,420,11123,MHASE,1,0,0
GJ,5,9,High,14,420,11123,PACL,0,0,0
GJ,5,9,High,16,480,11183,FHASE,0,0,0
GJ,5,9,High,16,480,11183,FSEPU,0,0,0
GJ,5,9,High,16,480,11183,MHASE,0,0,0
GJ,5,9,High,16,480,11183,PACL,0,0,0
GJ,5,9,High,18,540,11243,MHASE,1,1,0
GJ,5,9,High,18,540,11243,FHASE,0,0,0
GJ,5,9,High,18,540,11243,FSEPU,0,0,0
GJ,5,9,High,18,540,11243,PACL,0,0,0
GJ,5,9,High,20,600,11303,PACL,1,1,0
GJ,5,9,High,20,600,11303,FHASE,0,0,0
GJ,5,9,High,20,600,11303,FSEPU,0,0,0
GJ,5,9,High,20,600,11303,MHASE,0,0,0
GJ,5,9,High,22,660,11363,FHASE,0,0,0
GJ,5,9,High,22,660,11363,FSEPU,0,0,0
GJ,5,9,High,22,660,11363,MHASE,0,0,0
GJ,5,9,High,22,660,11363,PACL,0,0,0
GJ,5,9,High,24,720,11423,FHASE,0,0,0
GJ,5,9,High,24,720,11423,FSEPU,0,0,0
GJ,5,9,High,24,720,11423,MHASE,0,0,0
GJ,5,9,High,24,720,11423,PACL,0,0,0
GJ,5,9,High,26,780,11483,FHASE,0,0,0
GJ,5,9,High,26,780,11483,FSEPU,0,0,0
GJ,5,9,High,26,780,11483,MHASE,0,0,0
GJ,5,9,High,26,780,11483,PACL,0,0,0
GJ,5,9,High,28,840,11543,PACL,1,0,1
GJ,5,9,High,28,840,11543,FSEPU,1,0,0
GJ,5,9,High,28,840,11543,FHASE,0,0,0
GJ,5,9,High,28,840,11543,MHASE,0,0,0
GJ,5,9,High,30,900,11603,FSEPU,1,1,0
GJ,5,9,High,30,900,11603,MHASE,1,0,0
GJ,5,9,High,30,900,11603,FHASE,0,0,0
GJ,5,9,High,30,900,11603,PACL,0,0,0
GJ,5,9,High,32,960,11663,FHASE,0,0,0
GJ,5,9,High,32,960,11663,FSEPU,0,0,0
GJ,5,9,High,32,960,11663,MHASE,0,0,0
GJ,5,9,High,32,960,11663,PACL,0,0,0
GJ,5,9,High,34,1020,11723,FHASE,0,0,0
GJ,5,9,High,34,1020,11723,FSEPU,0,0,0
GJ,5,9,High,34,1020,11723,MHASE,0,0,0
GJ,5,9,High,34,1020,11723,PACL,0,0,0
GJ,5,9,High,36,1080,11783,FHASE,0,0,0
GJ,5,9,High,36,1080,11783,FSEPU,0,0,0
GJ,5,9,High,36,1080,11783,MHASE,0,0,0
GJ,5,9,High,36,1080,11783,PACL,0,0,0
GJ,5,9,High,38,1140,11843,FHASE,0,0,0
GJ,5,9,High,38,1140,11843,FSEPU,0,0,0
GJ,5,9,High,38,1140,11843,MHASE,0,0,0
GJ,5,9,High,38,1140,11843,PACL,0,0,0
GJ,5,9,High,40,1200,11903,FSEPU,1,0,1
GJ,5,9,High,40,1200,11903,FHASE,0,0,0
GJ,5,9,High,40,1200,11903,MHASE,0,0,0
GJ,5,9,High,40,1200,11903,PACL,0,0,0
MB,5,15,High,2,60,18433,FSEPU,1,0,0
MB,5,15,High,2,60,18433,MHASE,1,0,0
MB,5,15,High,2,60,18433,FHASE,0,0,0
MB,5,15,High,2,60,18433,PACL,0,0,0
MB,5,15,High,4,120,18493,FHASE,0,0,0
MB,5,15,High,4,120,18493,FSEPU,0,0,0
MB,5,15,High,4,120,18493,MHASE,0,0,0
MB,5,15,High,4,120,18493,PACL,0,0,0
MB,5,15,High,6,180,18553,FHASE,0,0,0
MB,5,15,High,6,180,18553,FSEPU,0,0,0
MB,5,15,High,6,180,18553,MHASE,0,0,0
MB,5,15,High,6,180,18553,PACL,0,0,0
MB,5,15,High,8,240,18613,FHASE,0,0,0
MB,5,15,High,8,240,18613,FSEPU,0,0,0
MB,5,15,High,8,240,18613,MHASE,0,0,0
MB,5,15,High,8,240,18613,PACL,0,0,0
MB,5,15,High,10,300,18673,FHASE,0,0,0
MB,5,15,High,10,300,18673,FSEPU,0,0,0
MB,5,15,High,10,300,18673,MHASE,0,0,0
MB,5,15,High,10,300,18673,PACL,0,0,0
MB,5,15,High,12,360,18733,MHASE,1,0,0
MB,5,15,High,12,360,18733,FHASE,0,0,0
MB,5,15,High,12,360,18733,FSEPU,0,0,0
MB,5,15,High,12,360,18733,PACL,0,0,0
MB,5,15,High,14,420,18793,FHASE,1,0,0
MB,5,15,High,14,420,18793,FSEPU,0,0,0
MB,5,15,High,14,420,18793,MHASE,0,0,0
MB,5,15,High,14,420,18793,PACL,0,0,0
MB,5,15,High,15,480,18853,FHASE,0,0,0
MB,5,15,High,15,480,18853,FSEPU,0,0,0
MB,5,15,High,15,480,18853,MHASE,0,0,0
MB,5,15,High,15,480,18853,PACL,0,0,0
MB,5,15,High,16,540,18913,MHASE,1,0,0
MB,5,15,High,16,540,18913,FHASE,0,0,0
MB,5,15,High,16,540,18913,FSEPU,0,0,0
MB,5,15,High,16,540,18913,PACL,0,0,0
MB,5,15,High,17,600,18973,MHASE,1,1,0
MB,5,15,High,17,600,18973,PACL,1,0,0
MB,5,15,High,17,600,18973,FHASE,0,0,0
MB,5,15,High,17,600,18973,FSEPU,0,0,0
MB,5,15,High,18,660,19033,FHASE,1,1,0
MB,5,15,High,18,660,19033,MHASE,1,0,0
MB,5,15,High,18,660,19033,FSEPU,0,0,0
MB,5,15,High,18,660,19033,PACL,0,0,0
MB,5,15,High,18,720,19093,FHASE,0,0,0
MB,5,15,High,18,720,19093,FSEPU,0,0,0
MB,5,15,High,18,720,19093,MHASE,0,0,0
MB,5,15,High,18,720,19093,PACL,0,0,0
MB,5,15,High,19,780,19093,MHASE,1,0,0
MB,5,15,High,19,780,19093,FHASE,0,0,0
MB,5,15,High,19,780,19093,FSEPU,0,0,0
MB,5,15,High,19,780,19093,PACL,0,0,0
MB,5,15,High,20,840,19153,MHASE,1,0,0
MB,5,15,High,20,840,19153,FHASE,0,0,0
MB,5,15,High,20,840,19153,FSEPU,0,0,0
MB,5,15,High,20,840,19153,PACL,0,0,0
MB,5,15,High,21,900,19213,FHASE,1,0,0
MB,5,15,High,21,900,19213,FSEPU,0,0,0
MB,5,15,High,21,900,19213,MHASE,0,0,0
MB,5,15,High,21,900,19213,PACL,0,0,0
MB,5,15,High,22,960,19273,FHASE,0,0,0
MB,5,15,High,22,960,19273,FSEPU,0,0,0
MB,5,15,High,22,960,19273,MHASE,0,0,0
MB,5,15,High,22,960,19273,PACL,0,0,0
MB,5,15,High,23,1020,19333,FHASE,1,0,0
MB,5,15,High,23,1020,19333,FSEPU,0,0,0
MB,5,15,High,23,1020,19333,MHASE,0,0,0
MB,5,15,High,23,1020,19333,PACL,0,0,0
MB,5,15,High,24,1080,19393,FHASE,0,0,0
MB,5,15,High,24,1080,19393,FSEPU,0,0,0
MB,5,15,High,24,1080,19393,MHASE,0,0,0
MB,5,15,High,24,1080,19393,PACL,0,0,0
MB,5,15,High,25,1140,19453,FHASE,0,0,0
MB,5,15,High,25,1140,19453,FSEPU,0,0,0
MB,5,15,High,25,1140,19453,MHASE,0,0,0
MB,5,15,High,25,1140,19453,PACL,0,0,0
GJ,6,7,High,1,60,14383,FHASE,0,0,0
GJ,6,7,High,1,60,14383,FSEPU,0,0,0
GJ,6,7,High,1,60,14383,MHASE,0,0,0
GJ,6,7,High,1,60,14383,PACL,0,0,0
GJ,6,7,High,2,120,14443,FHASE,1,0,0
GJ,6,7,High,2,120,14443,FSEPU,0,0,0
GJ,6,7,High,2,120,14443,MHASE,0,0,0
GJ,6,7,High,2,120,14443,PACL,0,0,0
